OBJECTID,Type,Name,Longitude,Latitude
1,Ancient Woodland,Abbotswood Shaw,0.145372686,50.98717479
2,Ancient Woodland,Admirals Bridge 1,-0.020908631,51.09165405
3,Ancient Woodland,Admirals Bridge 2,-0.017967013,51.09164917
4,Ancient Woodland,Admirals Bridge 3,-0.019498489,51.09323995
5,Ancient Woodland,Admirals Bridge 4,-0.012029048,51.09258256
6,Ancient Woodland,Admirals Bridge 4,-0.012100367,51.09158552
7,Ancient Woodland,Alder Shaw ext,0.282595355,51.06766595
8,Ancient Woodland,Alderbrook Farm Shaw,0.165692491,51.04288351
9,Ancient Woodland,Alders Wood ext,0.16248355,50.92947093
10,Ancient Woodland,Aldwick Grange Shaw,0.194030532,51.07409295
11,Ancient Woodland,Aldwick Grange Shaw,0.194646626,51.07383856
12,Ancient Woodland,Alice Bright Lane Gill,0.164510799,51.04018038
13,Ancient Woodland,Alice Bright Lane Gill,0.161576116,51.04271692
14,Ancient Woodland,Allens Shaw,0.248018211,50.99504717
15,Ancient Woodland,Allens Farm,0.238162673,50.99932857
16,Ancient Woodland,Allens Farm Shaw,0.242028718,51.0002887
17,Ancient Woodland,Allens Farm Shaw,0.242581161,51.00080872
18,Ancient Woodland,Allens Farm Shaw2,0.246466866,51.00187624
19,Ancient Woodland,Allens Farm Shaw3,0.249932482,51.00309562
20,Ancient Woodland,Allens Farm Shaw4,0.246390819,51.00000702
21,Ancient Woodland,Allens Farm Shaw5,0.250923642,51.00060327
22,Ancient Woodland,Allfreys Farm,0.151615136,51.03925841
23,Ancient Woodland,Allfreys Farm 2,0.155553272,51.03835842
24,Ancient Woodland,Allins Farm Shaw,0.020900359,51.03287787
25,Ancient Woodland,Allis Farm Shaw,0.316246736,50.9482233
26,Ancient Woodland,Andrews Bank Wood,0.066794849,51.09144922
27,Ancient Woodland,Andrews Bank Wood,0.066034808,51.09105795
28,Ancient Woodland,Andrews Bank Wood 2,0.068306526,51.0904422
29,Ancient Woodland,Angle Wood 2,0.242314691,51.02720119
30,Ancient Woodland,Angle Wood 2,0.241351998,51.02793915
31,Ancient Woodland,Ann Wood ext,0.314079815,50.92007058
32,Ancient Woodland,Apple Tree Shaw 2,0.271847291,50.99943367
33,Ancient Woodland,Applebrook Farm Shaw,0.318452363,50.9748012
34,Ancient Woodland,Argos Hill Shaw,0.238608404,51.03345089
35,Ancient Woodland,Arletts Farm Shaw,0.228740302,50.99484105
36,Ancient Woodland,Arlington Raceway Shaw,0.228814772,50.85707346
37,Ancient Woodland,Ashetts Wood 2,0.313475622,51.03428564
38,Ancient Woodland,Ashurst Bridge Shaw 1,0.149520225,51.13262183
39,Ancient Woodland,Ashurst Bridge Shaw 2,0.146797932,51.13032458
40,Ancient Woodland,Back Lane Shaw,0.224536801,50.96356027
41,Ancient Woodland,Badgers Hill Shaw,0.295119833,51.04932539
42,Ancient Woodland,Badgers Hill Shaw 2,0.293990395,51.0507236
43,Ancient Woodland,Badgers Mead Shaw,0.216649684,50.99143772
44,Ancient Woodland,Badgers Mead Shaw 2,0.219163621,50.99156086
45,Ancient Woodland,Bainden Shaw 2,0.273428003,51.00902617
46,Ancient Woodland,Bainden Shaw 3,0.272363536,51.0108726
47,Ancient Woodland,Bainden Shaw 4,0.271497547,51.01065561
48,Ancient Woodland,Ballsocks Shaw,0.269434684,50.9353642
49,Ancient Woodland,Banky Wood ext,0.26202664,51.02549909
50,Ancient Woodland,Banky Wood ext2,0.267782494,51.03035199
51,Ancient Woodland,Bareland Farm Shaw,0.301234231,51.0952256
52,Ancient Woodland,Barham Farm Shaw,0.173242986,50.93284161
53,Ancient Woodland,Barn Shaw 2,0.11653661,51.12494071
54,Ancient Woodland,Barrets Park Shaw,0.262518374,50.95473611
55,Ancient Woodland,Barrets Park Shaw 2,0.261685688,50.95430255
56,Ancient Woodland,Bartletts Farm Shaw,0.33871262,50.92693661
57,Ancient Woodland,Bartley Mill Shaw,0.329095099,51.09372038
58,Ancient Woodland,Bassats Manor Shaw,0.097547799,51.11967109
59,Ancient Woodland,Batsford Farm Shaw 3,0.315487563,50.92234509
60,Ancient Woodland,Batsford Gill,0.316613778,50.91895004
61,Ancient Woodland,Batts Wood ext,0.33635605,51.02694107
62,Ancient Woodland,Bay Cottage Shaw,0.159671186,50.95508291
63,Ancient Woodland,Beards Farm Shaw,0.332821834,50.9076097
64,Ancient Woodland,Beech Green Shaw,0.121102462,51.12415648
65,Ancient Woodland,Beech Hill Farm Shaw 2,0.307007214,50.92465354
66,Ancient Woodland,Beechcroft Farm Shaw,0.307418896,50.90881622
