OBJECTID,Type,Name,NHLE link,Longitude,Latitude
1,World Heritage Site,Durham Castle and Cathedral,https://historicengland.org.uk/listing/the-list/list-entry/1000089,-1.577471206,54.77242729
2,World Heritage Site,Ironbridge Gorge,https://historicengland.org.uk/listing/the-list/list-entry/1000090,-2.469084893,52.62402983
3,World Heritage Site,Blenheim Palace,https://historicengland.org.uk/listing/the-list/list-entry/1000091,-1.370100547,51.84600643
4,World Heritage Site,Tower of London,https://historicengland.org.uk/listing/the-list/list-entry/1000092,-0.076617284,51.50827952
5,World Heritage Site,"Canterbury Cathedral, St. Augustine's Abbey and St. Martin's Church",https://historicengland.org.uk/listing/the-list/list-entry/1000093,1.087362501,51.27695214
6,World Heritage Site,"Canterbury Cathedral, St. Augustine's Abbey and St. Martin's Church",https://historicengland.org.uk/listing/the-list/list-entry/1000093,1.087362501,51.27695214
7,World Heritage Site,Studley Royal Park including the ruins of Fountains Abbey,https://historicengland.org.uk/listing/the-list/list-entry/1000094,-1.546634616,54.12397992
8,World Heritage Site,Studley Royal Park including the ruins of Fountains Abbey,https://historicengland.org.uk/listing/the-list/list-entry/1000094,-1.546634616,54.12397992
9,World Heritage Site,"Palace of Westminster, Westminster Abbey and St. Margaret's Church",https://historicengland.org.uk/listing/the-list/list-entry/1000095,-0.126791358,51.4988761
10,World Heritage Site,Maritime Greenwich,https://historicengland.org.uk/listing/the-list/list-entry/1000096,0.002271235,51.47057469
11,World Heritage Site,Maritime Greenwich,https://historicengland.org.uk/listing/the-list/list-entry/1000096,0.002271235,51.47057469
12,World Heritage Site,"Stonehenge, Avebury and Associated Sites",https://historicengland.org.uk/listing/the-list/list-entry/1000097,-1.821673104,51.1707425
13,World Heritage Site,Frontiers of the Roman Empire (Hadrian's Wall),https://historicengland.org.uk/listing/the-list/list-entry/1000098,-2.329935505,55.01145357
14,World Heritage Site,Frontiers of the Roman Empire (Hadrian's Wall),https://historicengland.org.uk/listing/the-list/list-entry/1000098,-2.329935505,55.01145357
15,World Heritage Site,Saltaire,https://historicengland.org.uk/listing/the-list/list-entry/1000099,-1.782886878,53.84051826
16,World Heritage Site,Saltaire,https://historicengland.org.uk/listing/the-list/list-entry/1000099,-1.782886878,53.84051826
17,World Heritage Site,Derwent Valley Mills,https://historicengland.org.uk/listing/the-list/list-entry/1000100,-1.514097801,53.03208808
18,World Heritage Site,Derwent Valley Mills,https://historicengland.org.uk/listing/the-list/list-entry/1000100,-1.514097801,53.03208808
19,World Heritage Site,Dorset and East Devon Coast,https://historicengland.org.uk/listing/the-list/list-entry/1000101,-2.604042311,50.65143145
20,World Heritage Site,"Royal Botanic Gardens, Kew",https://historicengland.org.uk/listing/the-list/list-entry/1000102,-0.30398011,51.46840848
21,World Heritage Site,"Royal Botanic Gardens, Kew",https://historicengland.org.uk/listing/the-list/list-entry/1000102,-0.30398011,51.46840848
22,World Heritage Site,City of Bath,https://historicengland.org.uk/listing/the-list/list-entry/1000103,-2.364996327,51.37819944
23,World Heritage Site,Cornwall and West Devon Mining Landscape,https://historicengland.org.uk/listing/the-list/list-entry/1000105,-5.374831497,50.13828044
24,World Heritage Site,Pontcysyllte Aqueduct and Canal,https://historicengland.org.uk/listing/the-list/list-entry/1000106,-3.132393702,52.9686876
25,World Heritage Site,Pontcysyllte Aqueduct and Canal,https://historicengland.org.uk/listing/the-list/list-entry/1000106,-3.132393702,52.9686876
26,World Heritage Site,The English Lake District,https://historicengland.org.uk/listing/the-list/list-entry/1452615,-3.247100153,54.52057579
27,World Heritage Site,Jodrell Bank Observatory,https://historicengland.org.uk/listing/the-list/list-entry/1466112,-2.305085542,53.23353765
28,World Heritage Site,Jodrell Bank Observatory,https://historicengland.org.uk/listing/the-list/list-entry/1466112,-2.305085542,53.23353765
