OBJECTID,Type,List entry number,Name,Registration date,Amendment date,Capture scale,NHLE link,Area (ha),National Grid Reference,Longitude,Latitude
1,battlefields,1000000,Battle of Adwalton Moor 1643,06/06/1995 00:00,9/29/2017 1:55:59 PM,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000000,107.5859316,SE2164428855,-1.677510792,53.75716056
2,battlefields,1000001,Battle of Barnet 1471,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000001,112.1058131,TQ 24514 97590,-0.201121227,51.66330477
3,battlefields,1000002,Battle of Blore Heath 1459,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000002,145.8697736,SJ 71345 35300,-2.427574337,52.91435276
4,battlefields,1000003,Battle of Boroughbridge 1322,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000003,28.36403124,SE 39851 67186,-1.392108626,54.09903246
5,battlefields,1000004,Battle of Bosworth (Field) 1485,06/06/1995 00:00,06/07/2013 10:15,1:25000,https://historicengland.org.uk/listing/the-list/list-entry/1000004,1072.576041,SP3947698675,-1.418770977,52.58670351
6,battlefields,1000005,Battle of Braddock Down 1643,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000005,50.8488543,SX 17575 63008,-4.570333411,50.43850003
7,battlefields,1000006,Battle of Chalgrove 1643,06/06/1995 00:00,7/17/2019 11:18:41 AM,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000006,98.43468089,SU6469597865,-1.065776709,51.67589974
8,battlefields,1000007,Battle of Cheriton 1644,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000007,440.7260366,SU 59775 29360,-1.148420747,51.06047577
9,battlefields,1000008,Battle of Cropredy Bridge 1644,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000008,245.1976877,"SP 47512 44995, SP 47927 46275",-1.301541686,52.11272973
10,battlefields,1000009,Battle of Edgehill 1642,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000009,1054.860634,SP3396249503,-1.47935725,52.13826478
11,battlefields,1000010,Battle of Evesham 1265,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000010,124.1062809,SP 03898 45662,-1.944497164,52.10927265
12,battlefields,1000011,Battle of Flodden 1513,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000011,282.2052164,NT 89469 36989,-2.168799705,55.62636071
13,battlefields,1000012,The Site of The Battle of Halidon Hill 1333,06/06/1995 00:00,10/18/2016 3:28:18 PM,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000012,313.670515,NT9678955540,-2.052779345,55.79314841
14,battlefields,1000013,Battle of Hastings 1066,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000013,77.21117975,TQ7453215562,0.48509676,50.91125701
15,battlefields,1000014,Battle of Homildon Hill 1402,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000014,280.3060946,NT 96745 28978,-2.053154922,55.55448447
16,battlefields,1000015,Battle of Hopton Heath 1643,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000015,77.3769831,SJ 95492 26423,-2.068358947,52.83530472
17,battlefields,1000016,Battle of Langport 1645,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000016,64.55510558,ST 44127 27594,-2.798384958,51.044967
18,battlefields,1000017,Battle of Lansdown (Hill) 1643,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000017,277.7684614,ST7238771213,-2.3985614,51.42795776
19,battlefields,1000018,Battle of Lewes 1264,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000018,97.29484819,TQ 39829 10977,-0.013682434,50.8813743
20,battlefields,1000019,Battle of Maldon 991,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000019,42.01395844,TL 86758 05586,0.702207672,51.7179002
21,battlefields,1000020,Battle of Marston Moor 1644,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000020,657.6617777,SE 48727 52446,-1.258751046,53.96580453
22,battlefields,1000021,Battle of Myton 1319,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000021,270.8693499,SE 42923 67333,-1.345115323,54.1001072
23,battlefields,1000022,Battle of Nantwich 1644,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000022,172.8477773,SJ 63565 53515,-2.545325526,53.07761019
24,battlefields,1000023,Battle of Naseby 1645,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000023,452.2533995,SP6780979812,-0.996389225,52.40762359
25,battlefields,1000024,Battle of Neville's Cross 1346,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000024,39.31164075,NZ 25736 42534,-1.601426361,54.77706449
26,battlefields,1000025,Battle of Newburn Ford 1640,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000025,342.7187517,NZ 16383 63953,-1.745619917,54.96993127
27,battlefields,1000026,Battle of Newbury 1643,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000026,242.2190934,SU 45498 66070,-1.347480247,51.39185278
28,battlefields,1000027,Battle of Northallerton 1138,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000027,78.05464122,SE 36202 98054,-1.444190875,54.37670804
29,battlefields,1000028,Battle of Northampton 1460,06/06/1995 00:00,4/23/2015 1:30:46 PM,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000028,187.6589457,SP 76314 58913,-0.884240808,52.22314662
30,battlefields,1000029,Battle of Otterburn 1388,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000029,227.3851424,NY 87850 94006,-2.192617994,55.24010053
31,battlefields,1000030,Battle of Roundway Down 1643,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000030,972.2640699,SU 02041 64779,-1.972046055,51.38206536
32,battlefields,1000031,Battle of Rowton Heath 1645,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000031,63.3967741,SJ 45574 63038,-2.815475283,53.16166957
33,battlefields,1000032,Battle of Sedgemoor 1685,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000032,230.4974687,ST 35039 35908,-2.929502461,51.11875992
34,battlefields,1000033,Battle of Shrewsbury 1403,06/06/1995 00:00,09/09/2015 11:02,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000033,108.4524209,SJ5086717165,-2.729349545,52.75012582
35,battlefields,1000034,Battle of Solway Moss 1542,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000034,345.7950009,NY 38369 67713,-2.964981693,55.00015609
36,battlefields,1000035,Battle of Stamford Bridge 1066,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000035,74.98329542,SE 72057 55125,-0.902563795,53.98715926
37,battlefields,1000036,Battle of Stoke (Field) 1487,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000036,269.0502796,SK 74272 48920,-0.893920059,53.03241606
38,battlefields,1000037,Battle of Stow (-on-the-Wold) 1646,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000037,133.8846256,SP 18490 28243,-1.732366668,51.95237397
39,battlefields,1000038,Battle of Stratton 1643,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000038,62.9755498,SS 22666 06585,-4.519571846,50.8315642
40,battlefields,1000039,Battle of Tewkesbury 1471,06/06/1995 00:00,3/30/2017 3:03:35 PM,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000039,148.2079955,SO8898831323,-2.161741081,51.9802576
41,battlefields,1000040,"Battle of Towton, 1461",06/06/1995 00:00,06/01/2017 13:03,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000040,659.2622896,SE4785836728,-1.272639442,53.84035374
42,battlefields,1000041,Battle of Winceby 1643,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000041,175.8929437,TF 31360 68764,-0.034947069,53.1997334
43,battlefields,1000042,Battle of Worcester 1651 with Powick Bridge 1642,06/06/1995 00:00,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1000042,352.726358,SO 85088 52544,-2.219458157,52.17095346
44,battlefields,1412878,Battle of Winwick (also known as Battle of Red Bank) 1648,1/31/2018 11:01:31 AM,,1:25000,https://historicengland.org.uk/listing/the-list/list-entry/1412878,143.8411158,SJ5991193705,-2.604952767,53.43917962
45,battlefields,1413619,Battle of Lostwithiel 21 August 1644,7/15/2013 9:53:00 AM,,1:25000,https://historicengland.org.uk/listing/the-list/list-entry/1413619,283.4087135,SX1033161361,-4.64626004,50.40767127
46,battlefields,1413762,Battle of Lostwithiel 31 August - 1 September 1644,7/15/2013 9:53:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1413762,214.5490902,SX1047555732,-4.666528383,50.37082335
47,battlefields,1413782,Battle of Edgcote 1469,10/07/2013 10:59,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1413782,371.9397468,SP5161346839,-1.247647187,52.1167408
