OBJECTID,Type,Name,NHLE link,Longitude,Latitude
1,Monument,Mound S of Woodbrook,https://historicengland.org.uk/listing/the-list/list-entry/1001718,-3.018721324,52.18394763
2,Monument,Castle Twts,https://historicengland.org.uk/listing/the-list/list-entry/1001719,-3.05906611,52.1927449
3,Monument,Lyonshall Castle,https://historicengland.org.uk/listing/the-list/list-entry/1001720,-2.979341482,52.2010309
4,Monument,Mound 1200yds (1100m) NNE of the Church,https://historicengland.org.uk/listing/the-list/list-entry/1001721,-2.921962994,52.30742046
5,Monument,Limebrook Priory,https://historicengland.org.uk/listing/the-list/list-entry/1001722,-2.919033355,52.28919253
6,Monument,"Two bowl barrows, one 220m east of Lower Longbeak and the other 320m east of Higher Longbeak",https://historicengland.org.uk/listing/the-list/list-entry/1001723,-4.557574413,50.80060587
7,Monument,Megalithic tomb 220yds (200m) SW of Trevarthen,https://historicengland.org.uk/listing/the-list/list-entry/1001724,-5.631627386,50.10935444
8,Monument,Hut circle 280yds (250m) SW of Trevarthen,https://historicengland.org.uk/listing/the-list/list-entry/1001725,-5.631857895,50.10888838
9,Monument,Cast iron footbridge at Perran Mill,https://historicengland.org.uk/listing/the-list/list-entry/1001726,-5.118630112,50.20389722
10,Monument,Round cairn 185m NNW of Old Hilltop Farm,https://historicengland.org.uk/listing/the-list/list-entry/1001727,-5.229351264,50.183039
11,Monument,Kerbed cairn called Hangman's Barrow,https://historicengland.org.uk/listing/the-list/list-entry/1001728,-5.26049251,50.18421928
12,Monument,Round cairn and kerbed cairn 300m north east of Blackrock Farm,https://historicengland.org.uk/listing/the-list/list-entry/1001729,-5.27212446,50.1693091
13,Monument,Two bowl barrows 250m west of Silverwell Farm,https://historicengland.org.uk/listing/the-list/list-entry/1001730,-5.178241662,50.15560888
14,Monument,"Offa's Dyke: Rushock Hill section, extending 1630yds (1490m) E to Kennel Wood",https://historicengland.org.uk/listing/the-list/list-entry/1001731,-3.032720386,52.22943591
