OBJECTID,Type,Name,NHLE link,Longitude,Latitude
1,Parks & Gardens,ROUSHAM,https://historicengland.org.uk/listing/the-list/list-entry/1000107,-1.30822462,51.91459322
2,Parks & Gardens,HAMPTON COURT,https://historicengland.org.uk/listing/the-list/list-entry/1000108,-0.325692362,51.39952388
3,Parks & Gardens,HIGHCLERE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000109,-1.355726722,51.33063723
4,Parks & Gardens,FARNBOROUGH HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000110,-1.37314574,52.13838667
5,Parks & Gardens,CHISWICK HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000111,-0.260466983,51.48477568
6,Parks & Gardens,LEIGH PARK (STAUNTON COUNTRY PARK),https://historicengland.org.uk/listing/the-list/list-entry/1000112,-0.978167088,50.87551919
7,Parks & Gardens,WREST PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000113,-0.404535839,52.00824607
8,Parks & Gardens,ENVILLE,https://historicengland.org.uk/listing/the-list/list-entry/1000114,-2.265882005,52.47162585
9,Parks & Gardens,BIDDULPH GRANGE,https://historicengland.org.uk/listing/the-list/list-entry/1000115,-2.156180601,53.12936609
10,Parks & Gardens,KIRBY HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000116,-0.636393354,52.52300214
11,Parks & Gardens,"MUSEUM GARDENS, YORK",https://historicengland.org.uk/listing/the-list/list-entry/1000117,-1.088276003,53.96139657
12,Parks & Gardens,CASTLE BROMWICH HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000118,-1.793140107,52.50541223
13,Parks & Gardens,OATLANDS,https://historicengland.org.uk/listing/the-list/list-entry/1000119,-0.442490948,51.37511942
14,Parks & Gardens,CASTLE HILL,https://historicengland.org.uk/listing/the-list/list-entry/1000120,-3.899958787,51.04315423
15,Parks & Gardens,TITSEY PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000121,0.01147545,51.27528067
16,Parks & Gardens,NUNEHAM COURTENAY,https://historicengland.org.uk/listing/the-list/list-entry/1000122,-1.217405033,51.67639607
17,Parks & Gardens,PAINSWICK HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000123,-2.198650123,51.79267824
18,Parks & Gardens,CREWE HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000124,-2.400391461,53.07869875
19,Parks & Gardens,PAINSHILL PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000125,-0.432424053,51.3299421
20,Parks & Gardens,"ROYAL HORTICULTURAL SOCIETY'S GARDENS, WISLEY",https://historicengland.org.uk/listing/the-list/list-entry/1000126,-0.474156434,51.31463951
21,Parks & Gardens,EATON HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000127,-2.888600676,53.12844343
